2026-08-25 07:31:47 | INFO     | data_acquisition.database.raw_news_db | Connected to raw news database at /home/claude/project/UrduNewsAI_DataAcquisition/data_acquisition/data/raw_news.db
2026-08-25 07:31:47 | INFO     | data_acquisition.database.raw_news_db | Database connection closed (/home/claude/project/UrduNewsAI_DataAcquisition/data_acquisition/data/raw_news.db)
2026-08-25 07:37:07 | INFO     | data_acquisition.database.raw_news_db | Connected to raw news database at /home/claude/project/UrduNewsAI_DataAcquisition/data_acquisition/data/raw_news.db
2026-08-25 07:37:07 | INFO     | pipeline.processed_news_db | Connected to processed news database at /home/claude/project/UrduNewsAI_DataAcquisition/data_acquisition/data/raw_news.db
2026-08-25 07:37:07 | INFO     | pipeline.preprocessing | Preprocessing complete: 52 ok, 0 duplicate, 0 empty, 0 error (of 52)
2026-08-25 07:37:07 | INFO     | data_acquisition.database.raw_news_db | Database connection closed (/home/claude/project/UrduNewsAI_DataAcquisition/data_acquisition/data/raw_news.db)
2026-08-25 07:37:07 | INFO     | pipeline.processed_news_db | Processed news database connection closed (/home/claude/project/UrduNewsAI_DataAcquisition/data_acquisition/data/raw_news.db)
2026-08-25 07:37:19 | INFO     | data_acquisition.database.raw_news_db | Connected to raw news database at /home/claude/project/UrduNewsAI_DataAcquisition/data_acquisition/data/raw_news.db
2026-08-25 07:37:19 | INFO     | pipeline.processed_news_db | Connected to processed news database at /home/claude/project/UrduNewsAI_DataAcquisition/data_acquisition/data/raw_news.db
2026-08-25 07:37:19 | INFO     | pipeline.classification | Classification complete for 52 articles
2026-08-25 07:37:19 | INFO     | data_acquisition.database.raw_news_db | Database connection closed (/home/claude/project/UrduNewsAI_DataAcquisition/data_acquisition/data/raw_news.db)
2026-08-25 07:37:19 | INFO     | pipeline.processed_news_db | Processed news database connection closed (/home/claude/project/UrduNewsAI_DataAcquisition/data_acquisition/data/raw_news.db)
2026-08-25 07:37:23 | INFO     | data_acquisition.database.raw_news_db | Connected to raw news database at /home/claude/project/UrduNewsAI_DataAcquisition/data_acquisition/data/raw_news.db
2026-08-25 07:37:23 | INFO     | pipeline.processed_news_db | Connected to processed news database at /home/claude/project/UrduNewsAI_DataAcquisition/data_acquisition/data/raw_news.db
2026-08-25 07:37:23 | INFO     | pipeline.duplicate_detection | Duplicate detection complete: 0 groups, 0 marked duplicate (of 52 articles)
2026-08-25 07:37:23 | INFO     | data_acquisition.database.raw_news_db | Database connection closed (/home/claude/project/UrduNewsAI_DataAcquisition/data_acquisition/data/raw_news.db)
2026-08-25 07:37:23 | INFO     | pipeline.processed_news_db | Processed news database connection closed (/home/claude/project/UrduNewsAI_DataAcquisition/data_acquisition/data/raw_news.db)
2026-08-25 07:37:24 | INFO     | data_acquisition.database.raw_news_db | Connected to raw news database at /home/claude/project/UrduNewsAI_DataAcquisition/data_acquisition/data/raw_news.db
2026-08-25 07:37:24 | INFO     | pipeline.processed_news_db | Connected to processed news database at /home/claude/project/UrduNewsAI_DataAcquisition/data_acquisition/data/raw_news.db
